"EDITAR";"C_ORDEN";"C_CONTRATO";"C_CLIENTE";"C_EJECUTIVO";"PRODUCTO";"MOTIVO";"DURACION";"INICIO_VIGENCIA";"FIN_VIGENCIA";"C_MONEDA";"INVERSION";"OBSERVACIONES";"F_CREACION";"C_USUARIO";"C_MEDIO";"IGV";"REVISION";"ACTIVA";"TIPO";
"
";"AUROCO00149";"T043";"C042";"EJ15";"INSTITUTO DANIEL A CARRION";"SOMOS LOS PRIMEROS…41 AÑOS";"20";"16/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN AUROCO00149 RV. 1
MATERIAL EN PODER DEL CANAL
25% RECARGO SOBRE TARIFA PROGRAMA AL FONDO HAY SITIO";"17/08/10";"AUROCO";"M00";"SI";"2";"";"NORMAL"
"
";"AUROCO00153";"T045";"C072";"EJ28";"PEDRO GUERRA";"PEDRO GUERRA EN LIMA";"20";"19/08/10";"22/08/10";"";"";"MATERIAL POR ENVIAR.";"19/08/10";"AUROCO";"M05";"SI";"0";"";"NORMAL"
"
";"AUROCO00159";"T046";"C073";"EJ7";"TRILCE";"PRIMER PUESTO";"10";"19/08/10";"29/08/10";"";"";"CARGAR AL CONTRATO CANJE.
MATERIAL POR ENVIAR AL CANAL.";"19/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00179";"T044";"C071";"EJ7";"LOTTOFACIL";"LOTTOFACIL";"15";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL";"24/08/10";"AUROCO";"M00";"SI";"0";"NO";"NORMAL"
"
";"AUROCO00180";"T049";"C075";"EJ7";"LOTTOFACIL";"LOTTOFACIL";"15";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL";"24/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00181";"T049";"C075";"EJ7";"LOTTOFACIL";"LOTTOFACIL";"15";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR INGRESAR AL CANAL";"24/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00182";"T049";"C075";"EJ7";"LOTTOFACIL";"LOTTOFACIL";"15";"01/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN AUROCO00182
MATERIAL NUEVO POR ENVIAR AL CANAL";"24/08/10";"AUROCO";"M00";"SI";"1";"";"NORMAL"
"
";"AUROCO00183";"T049";"C075";"EJ7";"LOTTOFACIL";"LOTTOFACIL";"15";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL";"24/08/10";"AUROCO";"M02";"SI";"0";"";"NORMAL"
"
";"AUROCO00184";"T049";"C075";"EJ7";"LOTTOFACIL";"LOTTOFACIL";"15";"01/08/10";"31/08/10";"";"";"LAS TARIFAS CORRESPONDEN A MONTOS BRUTOS
MATERIAL NUEVO POR ENVIAR AL CANAL 
";"24/08/10";"AUROCO";"M01";"SI";"0";"";"NORMAL"
"
";"AUROCO00185";"T038";"C046";"EJ11";"IDAT";"MONSTRUO EN COMPUTACION";"30";"01/09/10";"12/09/10";"";"";"MATERIAL EN PODER DEL CANAL";"25/08/10";"AUROCO";"M00";"SI";"0";"";"NORMAL"
