"EDITAR";"C_CONTRATO";"C_CLIENTE";"INICIO_VIGENCIA";"FIN_VIGENCIA";"C_MONEDA";"INVERSION";"INVER_IGV";"MONTO_ORDENAR";"MONTO_OR_IGV";"OBSERVACIONES";"F_CREACION";"C_USUARIO";"RUC_CLIENTE";"NRO_FISICO";"FACTURADO";"TAZA_IGV";"TIPO_CAMBIO";
"
";"T0286";"C0125";"01/06/11";"31/07/11";"Soles";"91373,18";"107820";"91373,18";"107820";"CONTRATO AMERICA TELEVISION MONTO BRUTO 32,633.28 + IGV, TIPO DE CAMBIO 2.8";"15/06/11";"AUROCO";"20521449731";"CAP 145-11";"";"18";""
"
";"T0287";"C0126";"01/06/11";"31/07/11";"Soles";"75684";"89307";"75684";"89307";"CONTRATO AMERICA TELEVISION MONTO NETO 27,030.00 + IGV TIPO DE CAMBIO";"15/06/11";"AUROCO";"20106793621";"CAP 146-11";"";"18";""
"
";"T0288";"C026";"01/06/11";"31/12/11";"Dolares";"45112,5";"53233";"45112,5";"53233";"";"16/06/11";"AUROCO";"20384734503";"CAP 140-11";"";"18";""
"
";"T0289";"C096";"01/06/11";"31/07/11";"Dolares";"12357,15";"14581";"12357,15";"14581";"";"17/06/11";"AUROCO";"20102306598";"CAP 147-11";"";"18";""
"
";"T0290";"C096";"01/06/11";"31/07/11";"Soles";"34699,98";"40946";"34699,98";"40946";"CONTRATO AMERICA TELEVISION MONTO EN DOLARES US$ 12,392.85 + IGV TIPO DE CAMBIO 2.8";"17/06/11";"AUROCO";"20102306598";"CAP 147-11";"";"18";""
"
";"T0291";"C046";"01/06/11";"30/06/11";"Soles";"34645,29";"40881";"34645,29";"40881";"CONTRATO AMERICA TELEVISION MONTO EN DOLARES US$ 12,373.32 + IGV TIPO DE CAMBIO 2.8";"17/06/11";"AUROCO";"20109199835";"CAP 148-11";"";"18";""
"
";"T0292";"C041";"01/06/11";"31/07/11";"Dolares";"14700,5";"17347";"14700,5";"17347";"";"20/06/11";"AUROCO";"20466246370";"COM 007-11";"";"18";""
"
";"T0293";"C041";"01/06/11";"31/07/11";"Soles";"50401,26";"59473";"50401,26";"59473";"CONTRATO AMERICA TELEVISION MONTO EN DOLARES US$ 18,000.45 + IGV TIPO DE CAMBIO 2.8";"20/06/11";"AUROCO";"20466246370";"COM 007-11";"";"18";""
"
";"T0294";"C0104";"01/06/11";"30/06/11";"Dolares";"375";"443";"375";"443";"";"21/06/11";"AUROCO";"20431684871";"CAP 149-11";"";"18";""
"
";"T0296";"C042";"01/06/11";"31/07/11";"Dolares";"13540,26";"15978";"13540,26";"15978";"";"24/06/11";"AUROCO";"20138221157";"CAP 152-11";"";"18";""
